;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose;Risk
1027;25;female;3;own;little;little;8065;36;education;bad
1028;36;male;3;own;little;little;3275;21;car;good
1029;52;male;2;own;moderate;little;2223;24;radio/TV;good
1030;66;male;0;free;quite rich;rich;1480;12;car;good
1031;25;female;2;rent;little;little;1371;24;car;bad
1032;37;male;2;own;little;little;3535;36;car;good
1033;25;female;2;own;little;little;3509;18;radio/TV;good
1034;38;male;3;own;rich;little;5711;36;car;good
1035;67;female;2;own;little;moderate;3872;18;repairs;good
1036;25;male;2;own;little;moderate;4933;39;radio/TV;bad
1037;60;male;2;own;rich;little;1940;24;car;good
1038;31;male;1;own;little;moderate;1410;12;education;good
1039;23;female;1;own;moderate;moderate;836;12;car;bad
1040;60;male;3;own;little;moderate;6468;20;car;good
1041;35;male;1;own;rich;moderate;1941;18;business;good
1042;40;male;2;own;quite rich;little;2675;22;radio/TV;good
1043;38;male;2;own;little;little;2751;48;car;good
1044;50;male;2;free;little;moderate;6224;48;education;bad
1045;27;male;2;own;little;little;5998;40;education;bad
1046;39;female;2;own;little;moderate;1188;21;business;bad
1047;41;male;3;own;little;little;6313;24;car;good
1048;27;male;2;own;little;little;1221;6;furniture/equipment;good
1049;51;male;2;free;little;rich;2892;24;furniture/equipment;good
1050;32;male;2;rent;quite rich;little;3062;24;furniture/equipment;good
1051;22;female;2;rent;moderate;little;2301;9;furniture/equipment;good
1052;51;male;2;free;little;little;7511;18;car;bad
1053;22;female;1;rent;little;little;1258;12;furniture/equipment;good
1054;54;male;2;own;little;little;717;24;car;good
1055;35;male;0;own;little;moderate;1549;9;car;good
1056;54;male;2;free;little;little;1597;24;education;good
1057;48;female;1;rent;little;moderate;1795;18;radio/TV;good
1058;24;female;2;own;little;little;4272;20;furniture/equipment;good
1059;35;male;2;own;little;little;976;12;radio/TV;good
1060;24;female;0;rent;little;moderate;7472;12;car;good
1061;24;male;2;own;little;little;9271;36;car;bad
1062;26;male;1;own;little;moderate;590;6;radio/TV;good
1063;65;male;2;own;little;little;930;12;radio/TV;good
1064;55;male;3;free;little;moderate;9283;42;car;good
1065;26;female;0;rent;little;moderate;1778;15;car;bad
1066;26;male;2;own;little;moderate;907;8;business;good
1067;28;male;1;own;little;moderate;484;6;radio/TV;good
1068;24;male;2;own;little;little;9629;36;car;bad
1069;54;male;2;own;little;little;3051;48;domestic appliances;bad
1070;46;male;2;free;little;little;3931;48;car;bad
1071;54;female;2;rent;little;moderate;7432;36;car;good
1072;62;male;2;own;quite rich;little;1338;6;domestic appliances;good
1073;24;female;2;rent;little;little;1554;6;radio/TV;good
1074;43;male;3;own;little;little;15857;36;vacation/others;good
1075;26;male;2;own;little;little;1345;18;radio/TV;bad
1076;27;male;2;own;little;little;1101;12;car;good
1077;24;male;2;own;little;rich;3016;12;radio/TV;good
1078;41;male;2;own;little;little;2712;36;furniture/equipment;bad
1079;47;male;1;own;little;little;731;8;car;good
1080;35;male;3;own;little;little;3780;18;furniture/equipment;good
1081;30;male;2;own;little;little;1602;21;car;good
1082;33;female;2;rent;little;little;3966;18;car;bad
1083;36;male;2;own;little;little;4165;18;business;bad
1084;47;male;2;free;little;little;8335;36;car;bad
1085;38;male;2;free;little;moderate;6681;48;business;good
1086;44;male;2;own;quite rich;little;2375;24;business;good
1087;23;female;2;rent;little;little;1216;18;car;bad
1088;29;male;2;rent;little;little;11816;45;business;bad
1089;42;female;2;own;little;moderate;5084;24;radio/TV;good
1090;25;female;1;own;little;rich;2327;15;radio/TV;bad
1091;48;male;2;own;little;little;1082;12;car;bad
1092;21;female;2;own;little;little;886;12;radio/TV;good
1093;23;female;1;rent;little;little;601;4;furniture/equipment;good
1094;63;male;2;own;little;little;2957;24;car;good
1095;46;male;2;own;little;little;2611;24;radio/TV;good
1096;29;male;2;own;little;little;5179;36;furniture/equipment;bad
1097;28;male;1;own;little;little;2993;21;car;good
1098;23;female;2;own;little;little;1943;18;repairs;bad
1099;50;male;2;own;little;little;1559;24;business;good
1100;47;male;2;own;little;little;3422;18;furniture/equipment;good
1101;35;male;2;own;little;moderate;3976;21;furniture/equipment;good
1102;68;male;2;rent;little;little;6761;18;car;bad
1103;28;male;2;own;little;little;1249;24;car;good
1104;59;male;2;own;little;little;1364;9;radio/TV;good
1105;57;male;1;own;little;little;709;12;radio/TV;bad
1106;33;male;2;rent;little;little;2235;20;car;bad
1107;43;male;2;own;little;little;4042;24;car;good
1108;35;male;2;free;little;little;1471;15;radio/TV;good
1109;32;male;1;free;little;little;1442;18;car;bad
1110;45;male;2;own;little;little;10875;36;car;good
1111;33;male;2;own;moderate;little;1474;24;car;good
1112;40;female;2;own;little;little;894;10;education;good
1113;28;male;2;free;little;little;3343;15;furniture/equipment;good
1114;29;female;2;own;little;little;3959;15;car;bad
1115;26;male;2;rent;moderate;little;3577;9;car;good
1116;27;male;2;own;rich;little;5804;24;car;good
1117;28;male;2;own;little;little;2169;18;business;bad
1118;35;female;2;own;little;little;2439;24;radio/TV;bad
1119;32;male;1;own;rich;little;4526;27;furniture/equipment;good
1120;25;male;1;rent;little;little;2210;10;furniture/equipment;bad
1121;20;female;2;rent;quite rich;little;2221;15;furniture/equipment;good
1122;27;female;2;own;little;little;2389;18;radio/TV;good
1123;42;male;2;own;little;little;3331;12;furniture/equipment;good
1124;37;male;2;own;little;little;7409;36;business;good
1125;24;female;2;rent;little;little;652;12;furniture/equipment;good
1126;40;female;2;own;quite rich;little;7678;36;furniture/equipment;good
1127;46;male;2;own;little;rich;1343;6;car;good
1128;26;male;2;own;moderate;little;1382;24;business;good
1129;24;female;2;own;little;little;874;15;domestic appliances;good
1130;29;male;1;own;little;little;3590;12;furniture/equipment;good
1131;40;female;2;own;rich;moderate;1322;11;car;good
1132;36;male;3;free;little;little;1940;18;radio/TV;good
1133;28;male;2;own;little;little;3595;36;radio/TV;good
1134;27;male;3;free;little;little;1422;9;car;bad
1135;36;male;2;own;little;little;6742;30;radio/TV;good
1136;38;male;3;own;little;little;7814;24;car;good
1137;48;male;2;free;little;little;9277;24;car;good
1138;36;male;2;own;little;moderate;2181;30;car;good
1139;65;female;0;own;little;little;1098;18;radio/TV;good
1140;43;male;2;own;little;moderate;4057;24;furniture/equipment;bad
1141;53;female;2;own;little;little;795;12;education;bad
1142;34;male;2;own;little;moderate;2825;24;business;good
1143;23;male;2;own;little;moderate;15672;48;business;bad
1144;34;male;3;own;little;little;6614;36;car;good
1145;40;male;2;rent;little;little;7824;28;car;good
1146;43;male;3;own;little;little;2442;27;business;good
1147;46;male;2;own;little;little;1829;15;radio/TV;good
1148;38;male;1;own;little;little;2171;12;car;good
1149;34;male;2;own;little;moderate;5800;36;car;good
1150;29;male;2;own;little;little;1169;18;radio/TV;good
1151;31;male;3;own;little;little;8947;36;car;good
1152;28;female;3;rent;little;little;2606;21;radio/TV;good
1153;35;female;2;own;rich;little;1592;12;furniture/equipment;good
1154;33;female;1;rent;little;little;2186;15;furniture/equipment;good
1155;42;male;2;own;little;little;4153;18;furniture/equipment;bad
1156;43;male;2;rent;little;little;2625;16;car;bad
1157;44;male;2;own;little;little;3485;20;car;good
1158;42;male;2;free;little;little;10477;36;car;good
1159;40;male;2;rent;little;little;1386;15;radio/TV;good
1160;36;male;3;own;little;little;1278;24;radio/TV;good
1161;20;male;3;rent;little;little;1107;12;radio/TV;good
1162;24;male;1;own;little;little;3763;21;car;good
1163;27;male;2;own;little;moderate;3711;36;education;good
1164;46;female;1;own;little;little;3594;15;car;good
1165;33;female;1;own;little;moderate;3195;9;car;good
1166;34;female;2;own;little;little;4454;36;radio/TV;good
1167;25;female;1;own;little;moderate;4736;24;furniture/equipment;bad
1168;25;female;2;own;little;moderate;2991;30;radio/TV;good
1169;28;male;2;own;rich;little;2142;11;business;good
1170;31;male;2;rent;little;little;3161;24;business;bad
1171;32;female;3;own;little;moderate;18424;48;vacation/others;bad
1172;32;male;2;own;moderate;little;2848;10;car;good
1173;68;male;3;own;little;little;14896;6;car;bad
1174;33;male;2;own;moderate;little;2359;24;furniture/equipment;bad
1175;39;male;3;rent;little;little;3345;24;furniture/equipment;bad
1176;28;female;2;own;little;little;1817;18;furniture/equipment;good
1177;37;male;3;own;quite rich;little;12749;48;radio/TV;good
1178;22;female;2;rent;little;little;1366;9;radio/TV;bad
1179;30;male;2;rent;little;moderate;2002;12;car;good
1180;55;male;2;own;little;little;6872;24;furniture/equipment;bad
1181;46;male;2;own;little;little;697;12;car;bad
1182;21;female;2;rent;little;little;1049;18;furniture/equipment;good
1183;39;male;2;free;little;little;10297;48;car;bad
1184;58;male;2;own;little;little;1867;30;radio/TV;good
1185;43;male;1;own;little;little;1344;12;car;good
1186;24;male;1;own;little;little;1747;24;furniture/equipment;good
1187;22;female;2;own;little;moderate;1670;9;radio/TV;bad
1188;30;male;2;own;little;little;1224;9;car;good
1189;42;male;2;own;quite rich;little;522;12;radio/TV;good
1190;23;female;2;own;little;little;1498;12;radio/TV;good
1191;30;male;3;own;moderate;moderate;1919;30;radio/TV;bad
1192;28;female;1;own;little;rich;745;9;radio/TV;bad
1193;30;male;3;rent;little;moderate;2063;6;radio/TV;good
1194;42;male;2;free;little;moderate;6288;60;education;bad
1195;46;male;3;own;little;little;6842;24;car;good
1196;45;male;3;own;little;little;3527;12;car;good
1197;31;male;1;own;little;little;1546;10;car;good
1198;31;male;2;own;little;little;929;24;furniture/equipment;good
1199;42;male;1;own;little;little;1455;4;car;good
1200;46;female;2;rent;little;little;1845;15;furniture/equipment;good
1201;30;female;2;own;quite rich;moderate;8358;48;car;good
1202;30;male;2;free;quite rich;little;3349;24;furniture/equipment;bad
1203;38;male;3;own;little;little;2859;12;car;good
1204;43;male;1;own;little;little;1533;18;furniture/equipment;bad
1205;31;male;2;own;moderate;little;3621;24;radio/TV;bad
1206;40;male;0;own;little;moderate;3590;18;business;good
1207;24;male;2;own;little;little;2145;36;business;bad
1208;28;female;2;rent;quite rich;moderate;4113;24;car;bad
1209;26;female;3;own;little;little;10974;36;furniture/equipment;bad
1210;29;female;2;own;little;little;1893;12;car;good
1211;57;female;3;rent;rich;little;1231;24;radio/TV;good
1212;49;male;1;own;little;rich;3656;30;radio/TV;good
1213;37;male;1;own;little;moderate;1154;9;radio/TV;good
1214;45;male;1;own;little;little;4006;28;car;bad
1215;30;male;2;free;moderate;moderate;3069;24;furniture/equipment;good
1216;30;male;2;rent;little;little;1740;6;radio/TV;good
1217;47;male;2;own;little;moderate;2353;21;car;good
1218;29;male;2;own;little;little;3556;15;car;good
1219;35;male;2;own;quite rich;little;2397;24;radio/TV;bad
1220;22;male;1;own;little;moderate;454;6;repairs;good
1221;26;female;2;own;little;moderate;1715;30;radio/TV;good
1222;23;male;1;own;quite rich;moderate;2520;27;radio/TV;bad
1223;54;female;3;rent;little;little;3568;15;radio/TV;good
1224;29;male;2;rent;little;little;7166;42;radio/TV;good
1225;40;male;1;own;little;little;3939;11;car;good
1226;22;male;2;own;moderate;moderate;1514;15;repairs;good
1227;43;male;1;own;little;little;7393;24;car;good
1228;29;female;0;rent;little;little;1193;24;car;bad
1229;36;male;2;rent;little;little;7297;60;business;bad
1230;33;female;2;own;little;little;2831;30;radio/TV;good
1231;57;female;1;own;quite rich;rich;1258;24;radio/TV;good
1232;64;female;2;own;little;moderate;753;6;radio/TV;good
1233;42;male;2;own;little;moderate;2427;18;business;good
1234;47;male;1;own;little;little;2538;24;car;bad
1235;25;male;2;rent;moderate;moderate;1264;15;car;bad
1236;49;male;2;own;little;moderate;8386;30;furniture/equipment;bad
1237;33;male;3;rent;little;little;4844;48;business;bad
1238;28;female;3;own;moderate;rich;2923;21;car;good
1239;26;male;2;own;little;little;8229;36;car;bad
1240;30;male;1;own;little;little;2028;24;furniture/equipment;good
1241;25;female;2;rent;little;little;1433;15;furniture/equipment;good
1242;33;male;2;own;little;rich;6289;42;business;good
1243;64;female;2;own;moderate;little;1409;13;radio/TV;good
1244;29;male;3;free;little;little;6579;24;car;good
1245;48;male;1;own;little;moderate;1743;24;radio/TV;good
1246;37;male;1;own;little;little;3565;12;education;good
1247;34;male;1;own;moderate;little;1569;15;radio/TV;good
1248;23;male;1;rent;little;little;1936;18;radio/TV;good
1249;30;male;3;own;little;little;3959;36;furniture/equipment;good
1250;50;male;2;own;little;little;2390;12;car;good
1251;31;female;1;own;little;little;1736;12;furniture/equipment;good
1252;40;male;3;own;little;little;3857;30;car;good
1253;38;male;2;own;little;little;804;12;radio/TV;good
1254;23;male;2;free;little;little;1845;45;radio/TV;bad
1255;27;male;2;own;moderate;moderate;4576;45;car;good
